amazon_identifier,product_name,product_price,review_date,review_title,number_of_stars,verified_purchase,review_body,number_found_helpful
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-05T00:00:00Z,Super Excited to Try This!,5,1,"This product is very easy to use , and they also have videos, and pictures that helped me understand how to use the DNA test. They also have another box inside ready to ship your results, which is very convenient.",0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-06T00:00:00Z,Hummmm,4,1,Pretty cool. Basicly a step up to sell vitamins though.,0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-07T00:00:00Z,Great value,4,1,"Very similar to what other dna services offer but they provide more insight to the body and dna. They explain The body type and what exercises would you benefit the most and least from. What vitamins you may be lacking.Again, this is all from a dna perspective.The online setup was easy.My only gripe is that when I looked online for results in the end of December 2017, they sent an email saying my results were in January 2018 and Severa times after that.I donâ€™t mind the notification but at least get it right. Remind me. Donâ€™t tell me itâ€™s in and didnâ€™t review the results when I did.",0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-08T00:00:00Z,3 months later and no results!,1,1,"Would love to review this order, alas I've not recieved anything back and it's been 3.5 months now. Doesnt look like i have any come back as it's been so long. Disappointed doesn't even cover it.",0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-10T00:00:00Z,One Star,1,1,"I never got my results, two kits purchased and mailed. No results",0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-11T00:00:00Z,Did not receive results.,1,1,I ordered this in januzry 2018. I sent in sample in february and havent receivedvresults andit is mid april.,0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-11T00:00:00Z,It's Worth Your Life...but BE INFORMED!,3,0,"At first, I was super disappointed in this product. The information I got was ""technically"" based off my DNA, but was extremely surface level in every way (with ancestry and health). So, I ended up taking the raw DNA file they gave me and ran it through Promethius for $10, which gave me IN DEPTH explanations as to what my DNA says. After reading my review, a guy from Vitagene gave me a call. We had an awesome and productive conversation, at the end of which, I got my money back. In that light, I decided to update my review so that you can be truly informed as you make a decision about Vitagene. Here's what you should know:1. REACH OUT TO VITAGENE FIRST: Email them at support@vitagene.com, ask your questions and request a phone call. It's worth the hassle, believe me. Vitagene heard me when I told them how disappointed I was that I got shallow information back and explained why I used Promethius, etc. The guy I talked to (who was great) stated that they are in the process now of trying to develop what Promethius does, which is essentially give detailed explanations to customers about what their DNA says and what it means. So, before you buy, call and talk to their people. Ask them where they are in their product development and how much information you'll actually receive that's tailored to your DNA. THE INFORMATION IS WORTH IT if you can get all of it. It'll be worth the wait if you need to wait.2. UNDERSTAND DNA + TALK WITH YOUR DOCTOR: When I checked my DNA against Promethius, I understood why Vitagene recommended the vitamins they did. Their recommendations were SPOT ON! But this was a double-edged sword. The recommendation came out of potential future/some present health risks coded in my DNA. (Almost like finding out what you might die of). It was hard to read, but super inspiring for someone who has always struggled to eat well. I found myself suddenly motivated! I looked over what Promethius wrote up, made a list of my risks, took it to my doctor and was told that 90% of everyone carries those risks in their DNA (huh...). We're all basically walking around like loaded guns and our lifestyle and diet pull the trigger. The better you understand how your body responds to those things, the better you can avoid that trigger. So, when you get the information from Vitagene, take it to your doctor. Mine looked over the list of vitamin recommendations, affirmed some and cautioned others. She also affirmed my risk list stating that if I feel weird at any given time, we can refer to it and go directly to blood tests instead of guessing for 6-12months and trying again. Super helpful! ...SO while Vitagene didn't get me all the way there, if that's where they're headed, this product is worth your life.The reason I got Vitagene was because I wanted to understand my body better instead of mindlessly eating food and hoping that some form of exercise worked along with some vague idea of what healthy was. I want to do everything I can to not only live long, but live well, and avoid taking drugs for things that a better, DNA-tailored lifestyle can address. This is also Vitagene's goal and an honorable one at that.",0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-11T00:00:00Z,Itâ€™s a waste of money.,1,1,The results were impossible based on my family. I never received a copy or notification that the results were online.,0
B01NCISWQT,Vitagene DNA Test Kit:  Ancestry + Health Personal Genetic Reports,49.83,2018-04-12T00:00:00Z,Not what i expected at all,1,1,This product does not offer similar perks that 23andme and ancestry. It's all fake information they make you answer questions in the beginning that basically auto input medical information. No information on your health is gathered. The ancestral part was probably the worst in the industry.,0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-11T00:00:00Z,DNA probable scam,1,1,"What I liked the most was that is was a swab test. The price was right. HOWEVER the test results were NOT at all accurate. Having 95 year old mother still living and knowing about our ancestry because my family had trace its tree back to the 1100's NONE of the European countries were mentioned. Instead the report stated I was Scandinavian!!! The other test that I sent in for a friend who is Native American, stated that they were from Nigeria!!!. I was told that the DNA  tested part of the heritage.Talking to a non-robot was nearly impossible. The account # that I was given did not work. When I finally lied in order to talk to a human to ""order a kit"", I was told that they tried the # and it did not work and they did not know why...and that on Sunday the lab would call me,  which they never did because their lab is in Israel  and there is a 10 hour difference...I did send them 3 emails...with no response.",0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-11T00:00:00Z,I very much enjoyed the breakdown of my genetic code in the graphics,5,0,"I very much enjoyed the breakdown of my genetic code in the graphics. It was comprehensive, Also the matches to relatives I did not know I had.",0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-12T00:00:00Z,Five Stars,5,0,"Fast and easy, very interesting and affordable.",0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-12T00:00:00Z,I was so happy to find out where i came from,5,0,I was so happy to find out where i came from.I think everyone needs to do this.You will be happy you did.,0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-13T00:00:00Z,AMAZING as to what you find out,5,1,Pretty amazing what i found out- Things i never knew,0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-13T00:00:00Z,Not correct. Get Ancestry or 23andMe instead,1,1,"I would not recommend using this kit. The results do not match my family. Even if I was switched at birth, my daughter should match with me. She matches up with my parents, but not me. That makes no sense. Itâ€™s not accurate.",0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-14T00:00:00Z,Factor in  at least $3 postage in total cost,3,1,"Was shocked that I had to provide postage to send in sample, should be provided. Accuracy remains to be seen, sample about 4 weeks out.Now:Results were very detailed but vastly different from my son's done on another site, it did link me to very distant relatives, 2nd and 3rd cousins.",0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-14T00:00:00Z,Would recommend.,5,1,As described by seller. Would recommend.,0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-15T00:00:00Z,Love this site,5,0,"Very interesting,  Love this site...",0
B072SY5JHQ,MyHeritage DNA Test Kit - Ancestry & Ethnicity Genetic Testing,75,2018-04-15T00:00:00Z,"Too bad, it seemed to have lots of information",2,1,"It was very difficult to access my account.  Once I forgot my password it was impossible.. The online help section was confusing and failed to help.  Too bad ,it seemed to have lots of information.",0
